Estado,ICM_Norm,ICH_Norm,cluster,etiqueta_cluster
Aguascalientes,-0.28544397705366126,-0.7452672231294798,1,Alta vulnerabilidad
Baja California,-0.157314536929786,0.005386348793110063,2,Riesgo parcial
Baja California Sur,-0.9554040383372895,-1.0,1,Alta vulnerabilidad
Campeche,0.4400510414440333,0.46841601600532423,0,Baja vulnerabilidad
Coahuila de Zaragoza,0.20979390183002916,0.20204857113114782,2,Riesgo parcial
Colima,0.10645194361188867,-0.15060045046250622,2,Riesgo parcial
Chiapas,0.7195741118612674,0.48606919648889624,0,Baja vulnerabilidad
Chihuahua,0.522887234289911,0.2715115530280817,0,Baja vulnerabilidad
Ciudad de México,0.608810223860257,0.35603925746160014,0,Baja vulnerabilidad
Durango,0.34533287735351403,0.2665059557332169,2,Riesgo parcial
Guanajuato,0.7213939864179192,0.7690751184009049,0,Baja vulnerabilidad
Guerrero,1.0,0.7779665675670309,0,Baja vulnerabilidad
Hidalgo,0.318563957245817,-0.18405517691107368,2,Riesgo parcial
Jalisco,-0.09657494650846597,-0.3246202473469423,2,Riesgo parcial
Estado de México,0.5840473949700158,-0.24774791692940362,2,Riesgo parcial
Michoacán de Ocampo,0.630304585922037,0.4370321766702491,0,Baja vulnerabilidad
Morelos,0.36718115726451744,0.43085088920955616,0,Baja vulnerabilidad
Nayarit,0.3279551718595411,-0.17258671995761674,2,Riesgo parcial
Nuevo León,-0.8356000462181998,-0.6901142997878433,1,Alta vulnerabilidad
Oaxaca,0.9484054110957232,0.5245585893447314,0,Baja vulnerabilidad
Puebla,0.6612317661462566,0.4737812152066968,0,Baja vulnerabilidad
Querétaro,-0.5017861696156649,-0.8683724621282336,1,Alta vulnerabilidad
Quintana Roo,-1.0,-0.8622085407165362,1,Alta vulnerabilidad
San Luis Potosí,0.17225838565494672,0.8833125069092701,0,Baja vulnerabilidad
Sinaloa,0.774216439117202,0.8107202328695361,0,Baja vulnerabilidad
Sonora,0.15473943522538303,-0.43428666745852856,2,Riesgo parcial
Tabasco,0.531828792310134,0.3473627629436019,0,Baja vulnerabilidad
Tamaulipas,0.2737554593840548,0.39630927297925994,0,Baja vulnerabilidad
Tlaxcala,0.33438509346056905,0.6406339776884651,0,Baja vulnerabilidad
Veracruz de Ignacio de la Llave,0.7321064969915773,0.6980292109803568,0,Baja vulnerabilidad
Yucatán,0.4133488326263805,0.19253392485092646,2,Riesgo parcial
Zacatecas,0.8913019318075028,1.0,0,Baja vulnerabilidad
